id,InvoiceID,InvoiceNumber,user_id,order_type,ordernumber,shipping_method_id,payment_mothod_id,subtotal,vat,shipping_charge,discount,total,status,deleted,deleted_by,created_at,Day,Month,Year,Day of Week
56,c366aa6b-b1c7-4dda-99f2-e8033e27c587,INV-5075,7371,1,16250388967371,21,1,760,99.13,0,0,760,6,0,NULL,30/06/2021,30,6,2021,4
57,733b34f3-09fb-4838-821f-b8a6578b404b,INV-5076,7373,1,16250393907373,12,1,2590,337.83,0,0,2590,6,0,NULL,30/06/2021,30,6,2021,4
58,fc8fa579-b9da-46e2-ade0-d6d80e6cd1e8,INV-5077,7374,1,16250394097374,12,1,1890,246.52,0,0,1890,6,0,NULL,30/06/2021,30,6,2021,4
59,0e8769c6-062d-4764-8448-dedfe9e11327,INV-5078,7378,1,16250425317378,12,1,1150,150,0,0,1150,6,0,NULL,30/06/2021,30,6,2021,4
60,3edf59e7-5a06-4cf7-a50e-ce98048827c0,INV-5079,1854,1,16250426701854,17,1,1156,150.78,0,116,1146,6,0,NULL,30/06/2021,30,6,2021,4
62,8f0fac2c-48e0-4068-9365-a28bfc75d240,INV-5080,7377,1,16250433427377,20,1,1949,254.22,0,0,1949,6,0,NULL,30/06/2021,30,6,2021,4
64,286a5a5e-e333-4f67-abbd-79b2ae4f1e36,INV-5081,6857,1,16250467726857,20,1,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
65,7c2fa29b-e5fe-4992-b604-b3748a135f08,INV-5002,3891,1,16250474683891,12,1,2659,346.83,0,0,2659,6,0,NULL,30/06/2021,30,6,2021,4
70,e71631c0-400f-483c-a5af-42673d60a122,INV-5082,5778,1,16250487675778,19,1,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
71,e20cb27a-102d-405f-ae47-dc37b53c7378,INV-5083,7148,1,16250492047148,12,1,915,119.35,0,0,915,6,0,NULL,30/06/2021,30,6,2021,4
73,a7b9b3db-2dc7-4465-995e-92e45a3d7686,INV-5084,5707,1,16250498525707,17,1,3065,399.78,0,0,3065,6,0,NULL,30/06/2021,30,6,2021,4
77,1d1c4069-e927-49f2-a3bd-e59bcb507c82,INV-5085,7383,1,16250524047383,19,1,835,108.91,0,0,835,6,0,NULL,30/06/2021,30,6,2021,4
78,731be075-bb67-4e12-89e3-a2526b8d3d3a,INV-5036,6177,1,16250524956177,17,2,1040,135.65,0,0,1040,6,0,NULL,30/06/2021,30,6,2021,4
81,78d4590e-d566-47a6-aaf5-430f75ab71a3,INV-5086,7375,1,16250527167375,17,1,3055,398.48,0,305.5,2749.5,6,0,NULL,30/06/2021,30,6,2021,4
82,a3ed4540-9269-44ea-837b-6dd5d9542fe6,INV-5087,7384,1,16250527287384,22,1,450,58.7,70,0,520,6,0,NULL,30/06/2021,30,6,2021,4
83,1037f7e4-39fa-4431-9561-c9ef7b48a7bc,INV-5088,2998,1,16250534182998,17,1,1660,216.52,0,166,1494,6,0,NULL,30/06/2021,30,6,2021,4
84,7f0f998c-a498-4bf1-a182-28b5fc1d79ef,INV-5089,7385,1,16250536277385,12,1,945,123.26,0,0,945,6,0,NULL,30/06/2021,30,6,2021,4
85,7b9acbbd-a6eb-4290-b81d-22ff4349bc82,INV-5004,2916,1,16250555952916,23,1,2035,265.43,0,0,2035,6,0,NULL,30/06/2021,30,6,2021,4
86,7f8897b2-b845-4d2f-9084-f614f6e3a6c1,INV-5090,7386,1,16250573697386,20,1,1669.5,217.76,0,0,1669.5,6,0,NULL,30/06/2021,30,6,2021,4
87,e7afcf7c-6108-474f-abbd-d22e7eb5d34d,INV-5091,1958,1,16250581291958,20,1,1145,149.35,0,0,1145,6,0,NULL,30/06/2021,30,6,2021,4
89,ed696958-4042-460a-9344-1bc6d5118293,INV-5092,7388,1,16250597817388,12,1,1045,136.3,0,0,1045,6,0,NULL,30/06/2021,30,6,2021,4
91,62d8754f-3b93-4d20-942a-25db8134ac95,INV-5093,7389,1,16250607237389,20,1,680,88.7,0,0,680,6,0,NULL,30/06/2021,30,6,2021,4
92,b7f527de-0505-4c01-aa3f-1f269d192e10,INV-5133,7390,1,16250610317390,17,2,1160,151.3,0,0,1160,6,0,NULL,30/06/2021,30,6,2021,4
95,c17f39b9-6c6f-4fcd-b01b-9c43a8ff9365,INV-5094,7392,1,16250639337392,17,1,160,20.87,70,0,230,6,0,NULL,30/06/2021,30,6,2021,4
97,d1fc1a5b-40fe-4b91-a610-b93829372c41,INV-5095,7393,1,16250641387393,12,11,835,108.91,0,0,835,6,0,NULL,30/06/2021,30,6,2021,4
98,ebe3e645-e174-45eb-9b5c-fd5a2bf42574,INV-5096,2661,1,16250645122661,12,1,499,74.22,70,0,569,6,0,NULL,30/06/2021,30,6,2021,4
99,4203ad84-f24d-4dd2-9ab6-1db92c89c3b8,INV-5097,7346,1,16250647387346,12,1,995,129.78,0,0,995,6,0,NULL,30/06/2021,30,6,2021,4
101,db6e3ce6-b1fc-432c-aa05-20cb4ec9d35c,INV-5098,7394,1,16250648687394,12,1,290,46.96,70,0,360,6,0,NULL,30/06/2021,30,6,2021,4
102,7e129db5-3eb4-4c59-af68-a37574b1bf1f,INV-5099,4817,1,16250654564817,12,1,835,108.91,0,0,835,6,0,NULL,30/06/2021,30,6,2021,4
103,9e158cab-04d8-483c-8a98-a9154c054421,INV-5100,7395,1,16250660137395,20,1,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
104,239e428b-9e54-4a53-b0c9-77d61b44573c,INV-5101,4849,1,16250661064849,12,1,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
107,38d82ae9-ed37-4293-9380-2840abcd23d0,INV-5102,7396,1,16250688907396,19,1,703,91.7,0,0,703,6,0,NULL,30/06/2021,30,6,2021,4
108,87cee56e-2091-437b-8e1e-6f3058a1ca01,INV-5103,4817,1,16250694074817,17,1,1288,168,0,0,1288,6,0,NULL,30/06/2021,30,6,2021,4
112,45b3ae25-b2dc-4303-9136-19ae5ae73470,INV-5314,7399,1,16250716627399,17,2,830,108.26,0,0,830,6,0,NULL,30/06/2021,30,6,2021,4
114,fb864906-6e64-4c36-a8ba-c3ddc51dc57c,INV-5104,7397,1,16250721737397,11,12,965,125.87,0,0,965,6,0,NULL,30/06/2021,30,6,2021,4
